Date,Stock Name,Symbol,Lot Size,Sector Name,Industry Name,MCap Category,Close,Chg %,Cumulative Future OI,OI Chg %,Volume (Times),Delivery (Times),Cumulative Call OI,Cumulative Put OI,Put Call Ratio (PCR),PCR Change 1D,OI Trend,Symbol with Comma for External Upload
12/Aug/2024,Sun TV Network Ltd.,SUNTV,1500.00,Media & Entertainment,TV Broadcasting & Software Production,Small Cap,818.80,-10.69,11004000.00,40.21,6.78,3.39,8986500.00,3702000.00,0.41,-0.15,AggressiveNewShort,"SUNTV,"
12/Aug/2024,Voltas Ltd.,VOLTAS,600.00,Consumer Durables,Air Conditioners,Mid Cap,1582.55,10.76,10869000.00,20.36,11.00,4.94,6756600.00,6271800.00,0.93,0.32,AggressiveNewLong,"VOLTAS,"
12/Aug/2024,National Aluminium Company Ltd.,NATIONALUM,3750.00,Non - Ferrous Metals,Aluminium & Aluminium Products,Mid Cap,174.21,-1.72,72641250.00,16.22,2.31,1.62,58428750.00,21390000.00,0.37,0.00,AggressiveNewShort,"NATIONALUM,"
12/Aug/2024,Astral Ltd.,ASTRAL,367.00,Plastic Products,Plastic Products,Mid Cap,1937.90,-4.60,4174992.00,12.71,4.67,4.22,3447965.00,1681227.00,0.49,-0.08,AggressiveNewShort,"ASTRAL,"
12/Aug/2024,Coromandel International Ltd.,COROMANDEL,700.00,Chemicals,Fertilizers,Mid Cap,1734.05,2.38,4862900.00,8.39,1.21,0.63,2415700.00,2415000.00,1.00,-0.12,NewLong,"COROMANDEL,"
12/Aug/2024,Siemens Ltd.,SIEMENS,150.00,Capital Goods,Electric Equipment,Large Cap,6920.95,0.46,2558850.00,-8.32,2.21,1.22,1184850.00,970800.00,0.82,0.17,AggressiveShortCover,"SIEMENS,"
12/Aug/2024,Syngene International Ltd.,SYNGENE,1000.00,Healthcare,Pharmaceuticals & Drugs,Mid Cap,824.80,-1.86,5927000.00,-6.20,0.94,1.13,3728000.00,2166000.00,0.58,-0.08,LongCover,"SYNGENE,"
12/Aug/2024,Granules India Ltd.,GRANULES,2000.00,Healthcare,Pharmaceuticals & Drugs,Small Cap,689.10,4.61,9356000.00,-6.10,1.13,1.19,8778000.00,9302000.00,1.06,0.05,AggressiveShortCover,"GRANULES,"
12/Aug/2024,Axis Bank Ltd.,AXISBANK,625.00,Banking,Bank - Private,Large Cap,1164.30,1.89,54795625.00,-5.99,1.05,1.11,29623125.00,13775000.00,0.47,0.02,AggressiveShortCover,"AXISBANK,"
12/Aug/2024,Navin Fluorine International Ltd.,NAVINFLUOR,175.00,Chemicals,Chemicals,Small Cap,3466.90,-2.35,2013550.00,5.96,0.86,1.10,1265425.00,592725.00,0.47,-0.02,NewShort,"NAVINFLUOR,"
